10-16#27,568#100010000001111
10-16#31,014#100010000001111
10-16#34,46#100010000001111
10-16#34,46#100010000001111
10-16#34,46#100010000001111
10-16#34,46#100010000001111
10-16#34,46#100010000001111
10-16#34,46#100010000001111
10-16#34,46#100010000001111
10-17#34,46#100010000001111
10-20#34,46#100010000001111
10-20#34,46#100010000001111
10-21#34,46#100010000001111
10-21#34,49#100010000001111
10-21#34,52#100010000001111
10-22#34,55#100010000001111
10-22#34,58#100010000001111
10-22#34,61#100010000001111
10-22#34,66#100010000001111
10-22#34,71#100010000001111
10-22#34,76#100010000001111
10-22#34,81#100010000001111
10-22#34,86#100010000001111
10-22#34,88#100010000001111
10-22#34,9#100010000001111
10-22#34,92#100010000001111
10-23#34,949#100010000001111
10-23#34,988#100010000001111
10-23#35,007#100010000001111
10-23#35,026#100010000001111
10-24#35,045#100010000001111
10-24#35,074#100010000001111
10-24#35,103#100010000001111
10-24#35,132#100010000001111
10-24#35,161#100010000001111
10-24#35,19#100010000001111
10-24#35,21#100010000001111
10-24#35,23#100010000001111
10-24#35,25#100010000001111
10-24#35,27#100010000001111
10-24#35,29#100010000001111
10-24#35,3#100010000001111
10-24#35,31#100010000001111
10-24#35,32#100010000001111
10-24#35,33#100010000001111
10-24#35,34#100010000001111
10-24#35,35#100010000001111
10-24#35,35#100010000001111
10-24#35,35#100010000001111
10-24#35,35#100010000001111
10-25#35,36#100010000001111
10-25#35,37#100010000001111
10-25#35,38#100010000001111
10-25#35,39#100010000001111
10-25#35,41#100010000001111
10-25#35,43#100010000001111
10-25#35,45#100010000001111
10-25#35,47#100010000001111
10-25#35,49#100010000001111
10-25#35,51#100010000001111
10-25#35,52#100010000001111
10-25#35,53#100010000001111
10-25#35,54#100010000001111
10-25#35,55#100010000001111
10-25#35,55#100010000001111
10-25#35,55#100010000001111
10-25#35,55#100010000001111
10-26#35,55#100010000001111
10-26#35,55#100010000001111
10-26#35,55#100010000001111
10-27#35,55#100010000001111
10-27#35,55#100010000001111
10-27#35,55#100010000001111
10-27#35,55#100010000001111
10-27#35,55#100010000001111
10-27#35,57#100010000001111
10-27#35,59#100010000001111
10-27#35,61#100010000001111
10-27#35,62#100010000001111
10-27#35,64#100010000001111
10-28#35,66#100010000001111
10-28#35,68#100010000001111
10-28#35,7#100010000001111
10-28#35,72#100010000001111
10-28#35,74#100010000001111
10-28#35,74#100010000001111
10-28#35,74#100010000001111
10-28#35,74#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,75#100010000001111
10-28#35,76#100010000001111
10-28#35,77#100010000001111
10-28#35,78#100010000001111
10-28#35,79#100010000001111
10-28#35,8#100010000001111
10-29#35,81#100010000001111
10-29#35,82#100010000001111
10-29#35,83#100010000001111
10-29#35,85#100010000001111
10-29#35,87#100010000001111
10-29#35,88#100010000001111
10-29#35,89#100010000001111
10-29#35,9#100010000001111
10-29#35,91#100010000001111
10-29#35,92#100010000001111
10-29#35,93#100010000001111
10-29#35,94#100010000001111
